Data;CasosDia;Temp. Ins. (C);Umi. Ins. (%);Chuva (mm);CasosDiasTarget
2020-03-20;3;26.616666666666664;42.5;4.453935660506502;2
2020-03-21;3;26.4625;52.833333333333336;4.453935660506502;2
2020-03-22;3;24.8125;64.54166666666667;8.799999999999999;4
2020-03-23;1;22.008333333333336;82.0;28.8;2
2020-03-24;0;21.225;83.66666666666667;0.2;2
2020-03-25;2;21.354166666666668;75.375;4.453935660506502;2
2020-03-26;2;20.754166666666663;60.375;4.453935660506502;3
2020-03-27;4;22.704166666666666;61.04166666666666;4.453935660506502;9
2020-03-28;2;22.491666666666664;59.208333333333336;4.453935660506502;1
2020-03-29;2;20.820833333333333;56.41666666666666;4.453935660506502;2
2020-03-30;2;17.854166666666668;51.833333333333336;4.453935660506502;5
2020-03-31;3;21.666666666666668;56.333333333333336;4.453935660506502;9
2020-04-01;9;21.3125;57.04166666666666;4.453935660506502;5
2020-04-02;1;22.058333333333334;61.75;4.453935660506502;5
2020-04-03;2;22.495833333333334;78.5;5.0;2
2020-04-04;5;23.383333333333336;77.125;4.453935660506502;2
2020-04-05;9;22.78333333333333;75.66666666666667;1.6;4
2020-04-06;5;23.84166666666667;72.41666666666667;4.453935660506502;2
2020-04-07;5;23.675;69.0;0.4;4
2020-04-08;2;17.983333333333334;70.16666666666667;4.453935660506502;1
2020-04-09;2;16.704166666666666;63.79166666666666;4.453935660506502;7
2020-04-10;4;20.3875;56.75;4.453935660506502;1
2020-04-11;2;19.09583333333333;73.58333333333333;23.6;0
2020-04-12;4;18.8625;79.58333333333333;0.2;1
2020-04-13;1;17.191666666666666;66.29166666666667;4.453935660506502;4
2020-04-14;7;17.495833333333334;56.333333333333336;4.453935660506502;4
2020-04-15;1;16.283333333333335;59.875;4.453935660506502;3
2020-04-16;0;17.095833333333335;61.083333333333336;4.453935660506502;3
2020-04-17;1;18.075;61.16666666666666;4.453935660506502;7
2020-04-18;4;19.508333333333333;69.0;4.453935660506502;5
2020-04-19;4;17.091666666666665;80.58333333333333;9.2;2
2020-04-20;3;12.204166666666666;68.20833333333333;4.453935660506502;4
2020-04-21;3;13.3875;62.583333333333336;4.453935660506502;6
2020-04-22;7;15.4;56.083333333333336;4.453935660506502;5
2020-04-23;5;17.6375;61.625;4.453935660506502;16
2020-04-24;2;18.245833333333334;66.45833333333333;4.453935660506502;11
