Data;CasosDia
2020-03-15;3
2020-03-16;3
2020-03-17;3
2020-03-18;1
2020-03-19;0
2020-03-20;2
2020-03-21;2
2020-03-22;4
2020-03-23;2
2020-03-24;2
2020-03-25;2
2020-03-26;3
2020-03-27;9
2020-03-28;1
2020-03-29;2
2020-03-30;5
2020-03-31;9
2020-04-01;5
2020-04-02;5
2020-04-03;2
2020-04-04;2
2020-04-05;4
2020-04-06;2
2020-04-07;4
2020-04-08;1
2020-04-09;7
2020-04-10;1
2020-04-11;0
2020-04-12;1
2020-04-13;4
2020-04-14;4
2020-04-15;3
2020-04-16;3
2020-04-17;7
2020-04-18;5
2020-04-19;2
2020-04-20;4
2020-04-21;6
2020-04-22;5
2020-04-23;16
2020-04-24;11
2020-04-25;11
2020-04-26;2
2020-04-27;13
2020-04-28;6
2020-04-29;9
2020-04-30;4
2020-05-01;1
2020-05-02;2
2020-05-03;1
2020-05-04;7
2020-05-05;10
2020-05-06;11
2020-05-07;13
2020-05-08;13
2020-05-09;1
2020-05-10;6
2020-05-11;26
2020-05-12;24
2020-05-13;6
2020-05-14;11
2020-05-15;11
2020-05-16;7
2020-05-17;0
2020-05-18;29
2020-05-19;20
2020-05-20;35
2020-05-21;34
2020-05-22;25
2020-05-23;10
2020-05-24;6
2020-05-25;20
2020-05-26;14
2020-05-27;23
2020-05-28;23
2020-05-29;30
2020-05-30;29
2020-05-31;27
2020-06-01;52
2020-06-02;56
2020-06-03;43
2020-06-04;57
2020-06-05;40
2020-06-06;131
2020-06-07;42
2020-06-08;95
2020-06-09;66
2020-06-10;81
2020-06-11;59
2020-06-12;76
2020-06-13;37
2020-06-14;33
2020-06-15;74
2020-06-16;83
2020-06-17;81
2020-06-18;97
2020-06-19;104
2020-06-20;99
2020-06-21;105
2020-06-22;237
2020-06-23;160
2020-06-24;178
2020-06-25;273
2020-06-26;128
2020-06-27;192
2020-06-28;36
2020-06-29;144
2020-06-30;118
2020-07-01;101
2020-07-02;55
2020-07-03;81
2020-07-04;43
2020-07-05;43
2020-07-06;70
2020-07-07;62
2020-07-08;117
2020-07-09;69
2020-07-10;74
2020-07-11;44
2020-07-12;23
2020-07-13;59
2020-07-14;70
2020-07-15;60
2020-07-16;70
2020-07-17;59
2020-07-18;17
2020-07-19;4
2020-07-20;61
2020-07-21;77
2020-07-22;47
2020-07-23;67
2020-07-24;56
2020-07-25;38
2020-07-26;6
2020-07-27;67
2020-07-28;78
2020-07-29;71
2020-07-30;66
2020-07-31;54
2020-08-01;18
2020-08-02;9
2020-08-03;42
2020-08-04;76
2020-08-05;53
2020-08-06;41
2020-08-07;60
2020-08-08;17
2020-08-09;10
2020-08-10;68
2020-08-11;61
2020-08-12;57
2020-08-13;51
2020-08-14;58
2020-08-15;19
2020-08-16;14
2020-08-17;80
2020-08-18;58
2020-08-19;43
2020-08-20;65
2020-08-21;34
2020-08-22;10
2020-08-23;11
2020-08-24;85
2020-08-25;66
2020-08-26;68
2020-08-27;73
2020-08-28;57
2020-08-29;24
2020-08-30;15
2020-08-31;71
2020-09-01;55
2020-09-02;66
2020-09-03;62
2020-09-04;31
2020-09-05;33
2020-09-06;8
2020-09-07;30
2020-09-08;81
2020-09-09;57
2020-09-10;75
2020-09-11;40
2020-09-12;42
2020-09-13;27
2020-09-14;69
2020-09-15;70
2020-09-16;81
2020-09-17;74
2020-09-18;71
2020-09-19;41
2020-09-20;33
2020-09-21;81
2020-09-22;69
2020-09-23;49
2020-09-24;70
2020-09-25;83
2020-09-26;40
2020-09-27;13
2020-09-28;75
2020-09-29;68
2020-09-30;41
2020-10-01;77
2020-10-02;57
2020-10-03;32
2020-10-04;10
2020-10-05;70
2020-10-06;101
2020-10-07;49
2020-10-08;40
2020-10-09;40
2020-10-10;44
2020-10-11;27
2020-10-12;8
2020-10-13;35
2020-10-14;38
2020-10-15;33
2020-10-16;49
2020-10-17;22
2020-10-18;13
2020-10-19;40
2020-10-20;38
2020-10-21;45
2020-10-22;35
2020-10-23;42
2020-10-24;38
2020-10-25;7
2020-10-26;36
2020-10-27;48
2020-10-28;18
2020-10-29;82
2020-10-30;32
2020-10-31;20
2020-11-01;4
2020-11-02;18
2020-11-03;51
2020-11-04;32
2020-11-05;59
2020-11-06;63
2020-11-07;39
2020-11-08;32
2020-11-09;80
2020-11-10;117
2020-11-11;103
2020-11-12;132
2020-11-13;105
2020-11-14;59
2020-11-15;26
2020-11-16;170
2020-11-17;116
2020-11-18;103
2020-11-19;81
2020-11-20;76
2020-11-21;56
2020-11-22;54
2020-11-23;139
2020-11-24;109
2020-11-25;207
2020-11-26;122
2020-11-27;160
2020-11-28;40
2020-11-29;29
2020-11-30;196
2020-12-01;146
2020-12-02;139
2020-12-03;117
2020-12-04;182
2020-12-05;122
2020-12-06;91
2020-12-07;287
2020-12-08;221
2020-12-09;200
2020-12-10;212
2020-12-11;220
2020-12-12;123
2020-12-13;102
2020-12-14;181
2020-12-15;217
2020-12-16;185
2020-12-17;218
2020-12-18;181
2020-12-19;23
2020-12-20;89
2020-12-21;280
2020-12-22;127
2020-12-23;131
2020-12-24;66
2020-12-25;16
2020-12-26;138
2020-12-27;108
2020-12-28;148
2020-12-29;250
2020-12-30;92
2020-12-31;28
2021-01-01;12
2021-01-02;54
2021-01-03;52
2021-01-04;250
2021-01-05;222
2021-01-06;232
2021-01-07;128
2021-01-08;128
2021-01-09;94
2021-01-10;72
2021-01-11;130
2021-01-12;242
2021-01-13;187
2021-01-14;185
2021-01-15;138
2021-01-16;37
2021-01-17;24
2021-01-18;197
2021-01-19;163
2021-01-20;134
2021-01-21;109
