p;d;q;MAE;MSE;RMSE
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.02;1820.52;42.67
2;1;10;18.019999999999996;1820.5199999999998;42.669999999999995
