modelo;estimators;MAE;MSE;RMSE
SVR();150;13.28;404.92;20.12
SVR();100;13.14;403.71;20.09
SVR();100;13.22;404.16;20.1
SVR();100;13.18;403.72;20.09
SVR();100;13.24;404.86;20.12
SVR();100;13.33;407.37;20.18
SVR();50;13.25;405.03;20.13
SVR();50;13.18;404.66;20.12
SVR();50;13.24;404.0;20.1
SVR();50;13.38;406.16;20.15
SVR();50;13.14;403.27;20.08
SVR();50;13.34;405.78;20.14
SVR();50;13.19;403.19;20.08
SVR();50;13.13;402.07;20.05
SVR();50;13.05;400.44;20.01
SVR();50;13.29;405.59;20.14
SVR();50;13.19;405.07;20.13
SVR();50;13.24;404.61;20.11
SVR();50;13.29;404.59;20.11
SVR();50;13.31;405.84;20.15
SVR();50;13.230499999999997;404.452;20.110000000000003
