hidden_layer_sizes;activation;max_iter;learning_rate_init;MAE;MSE;RMSE
(400,);tanh;600;0.006;11.37;378.67;19.46
(200,);tanh;1000;0.006;11.18;368.21;19.19
(200,);tanh;1000;0.006;11.13;381.82;19.54
(200,);tanh;1000;0.006;11.15;377.21;19.42
(200,);tanh;1000;0.006;11.47;380.13;19.5
(200,);tanh;1000;0.006;11.26;369.52;19.22
(200,);tanh;1000;0.006;11.54;386.37;19.66
(200,);tanh;1000;0.006;11.23;383.6;19.59
(200,);tanh;1000;0.006;10.94;365.23;19.11
(200,);tanh;1000;0.006;11.01;364.26;19.09
(200,);tanh;1000;0.006;11.21;375.57;19.38
(200,);tanh;1000;0.006;11.43;374.27;19.35
(200,);tanh;1000;0.006;11.08;364.05;19.08
(200,);tanh;1000;0.006;10.87;365.31;19.11
(200,);tanh;1000;0.006;11.28;372.14;19.29
(200,);tanh;1000;0.006;11.43;382.56;19.56
(200,);tanh;1000;0.006;10.87;359.33;18.96
(200,);tanh;1000;0.006;11.1;365.97;19.13
(200,);tanh;1000;0.006;11.41;381.47;19.53
(200,);tanh;1000;0.006;10.64;356.27;18.88
(200,);['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', [...]];[600, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, [...]];[0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, [...]];11.179999999999998;372.59800000000007;19.3025
