hidden_layer_sizes;activation;max_iter;learning_rate_init;MAE;MSE;RMSE
(5, 10, 15);relu;400;0.01;13.06;441.31;21.01
(5, 10, 15);relu;400;0.01;14.26;464.79;21.56
(5, 10, 15);relu;1000;0.007;14.07;449.46;21.2
(5, 10, 15);relu;1000;0.007;13.14;438.26;20.93
(5, 10, 15);relu;1000;0.007;13.19;434.16;20.84
(5, 10, 15);relu;1000;0.007;12.8;423.27;20.57
(5, 10, 15);relu;1000;0.007;12.84;432.9;20.81
(5, 10, 15);relu;1000;0.007;12.93;437.91;20.93
(5, 10, 15);relu;1000;0.007;12.45;404.41;20.11
(5, 10, 15);relu;1000;0.007;12.36;404.77;20.12
(5, 10, 15);relu;1000;0.007;13.03;439.08;20.95
(5, 10, 15);relu;1000;0.007;12.5;405.38;20.13
(5, 10, 15);relu;1000;0.007;15.62;467.43;21.62
(5, 10, 15);relu;1000;0.007;13.41;416.25;20.4
(5, 10, 15);relu;1000;0.007;11.86;399.61;19.99
(5, 10, 15);relu;1000;0.007;12.31;414.11;20.35
(5, 10, 15);relu;1000;0.007;15.71;462.62;21.51
(5, 10, 15);relu;1000;0.007;12.2;405.04;20.13
(5, 10, 15);relu;1000;0.007;12.31;408.14;20.2
(5, 10, 15);relu;1000;0.007;14.67;464.68;21.56
(5, 10, 15);['relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', 'relu', [...]];[400, 400, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, [...]];[0.01, 0.01, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, [...]];13.235999999999999;430.679;20.746
