PARA;MAE;MSE;RMSE
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.22;664.63;25.78
19;13.220000000000002;664.6299999999999;25.779999999999994
