criterion;n_estimators;min_samples_leaf;MAE;MSE;RMSE
absolute_error;60;4;11.55;406.66;20.17
absolute_error;60;4;11.61;402.17;20.05
absolute_error;60;4;11.44;387.77;19.69
absolute_error;60;4;11.48;407.99;20.2
absolute_error;60;4;11.49;393.84;19.85
absolute_error;60;4;11.65;401.89;20.05
absolute_error;60;4;11.26;383.07;19.57
absolute_error;60;4;11.46;403.58;20.09
absolute_error;60;4;11.49;386.98;19.67
absolute_error;60;4;11.21;388.71;19.72
absolute_error;60;4;11.58;398.14;19.95
absolute_error;60;4;11.63;416.32;20.4
absolute_error;30;4;11.33;406.83;20.17
absolute_error;30;4;11.73;431.03;20.76
absolute_error;30;4;11.55;429.37;20.72
absolute_error;30;4;11.47;413.79;20.34
absolute_error;30;4;11.46;397.82;19.95
absolute_error;30;4;11.41;411.73;20.29
absolute_error;30;4;11.37;403.18;20.08
absolute_error;30;4;11.84;398.71;19.97
absolute_error;[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 30, 30, 30, 30, 30, 30, 30, 30, [...]];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, [...]];11.5005;403.4789999999999;20.0845
