nomeModelo;MAE;MSE;RMSE
LSTM1;12.25;458.45;21.41
LSTM1;15.41;761.27;27.59
LSTM1;13.65;592.11;24.33
LSTM1;13.61;595.61;24.41
LSTM1;15.47;754.74;27.47
LSTM1;13.38;531.93;23.06
LSTM1;15.25;668.57;25.86
LSTM1;14.76;660.77;25.71
LSTM1;15.97;775.79;27.85
LSTM1;15.85;769.14;27.73
LSTM1;15.72;751.33;27.41
LSTM1;13.02;432.73;20.8
LSTM1;13.46;503.77;22.44
LSTM1;12.77;497.71;22.31
LSTM1;12.09;395.27;19.88
LSTM1;12.84;430.29;20.74
LSTM1;14.03;541.31;23.27
LSTM1;14.34;614.37;24.79
LSTM1;13.56;558.32;23.63
LSTM1;13.32;572.51;23.93
LSTM1;14.0375;593.2995;24.231
