C;kernel;MAE;MSE;RMSE
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.23;367.83;19.18
0.1;linear;10.229999999999999;367.83;19.18
