PARA;MAE;MSE;RMSE
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.46;587.66;24.24
0.1;12.460000000000003;587.66;24.240000000000002
