booster;estimators;MAE;MSE;RMSE
gblinear;100;13.34;402.96;20.07
gblinear;100;13.64;408.91;20.22
gblinear;100;13.58;407.49;20.19
gblinear;100;13.46;405.28;20.13
gblinear;100;13.3;402.12;20.05
gblinear;100;13.65;409.1;20.23
gblinear;100;13.49;405.66;20.14
gblinear;100;13.67;409.62;20.24
gblinear;100;13.59;407.79;20.19
gblinear;100;13.56;406.97;20.17
gblinear;100;13.64;408.95;20.22
gblinear;100;13.5;405.82;20.14
gblinear;100;13.59;407.85;20.2
gblinear;100;13.58;407.62;20.19
gblinear;100;13.66;409.43;20.23
gblinear;100;13.62;408.58;20.21
gblinear;100;13.63;408.74;20.22
gblinear;100;13.64;408.71;20.22
gblinear;100;13.61;407.99;20.2
gblinear;100;13.67;409.5;20.24
gblinear;100;13.571000000000002;407.45449999999994;20.185
