EPOCAS;MAE;MSE;RMSE
1000;17.71;796.01;28.21
1000;20.45;1170.94;34.22
1000;23.9;1488.42;38.58
1000;22.21;1445.02;38.01
1000;25.22;1894.66;43.53
1000;27.76;2155.03;46.42
1000;27.61;2328.98;48.26
1000;23.69;1559.68;39.49
1000;24.25;1982.52;44.53
1000;25.45;1897.75;43.56
1000;24.76;2012.16;44.86
1000;25.48;1861.73;43.15
1000;23.8;1757.54;41.92
1000;21.4;1366.31;36.96
1000;20.05;1214.7;34.85
1000;22.08;1651.9;40.64
1000;20.83;1409.26;37.54
1000;20.47;1512.91;38.9
1000;20.13;1322.42;36.37
1000;20.92;1403.91;37.47
1000;22.908499999999997;1611.5924999999997;39.8735
