EPOCAS;MAE;MSE;RMSE
1000;16.15;598.66;24.47
1000;18.54;837.43;28.94
1000;20.67;1021.71;31.96
1000;21.51;1043.52;32.3
1000;21.76;1086.96;32.97
1000;22.08;1103.26;33.22
1000;22.67;1224.1;34.99
1000;23.22;1299.15;36.04
1000;26.17;1726.85;41.56
1000;26.37;1981.47;44.51
1000;26.02;1835.42;42.84
1000;26.13;1827.43;42.75
1000;26.76;1879.39;43.35
1000;26.58;1852.1;43.04
1000;26.28;1795.71;42.38
1000;27.17;1894.08;43.52
1000;28.02;2229.02;47.21
1000;28.79;2640.39;51.38
1000;30.27;3386.72;58.2
1000;31.12;3973.68;63.04
1000;24.814;1761.8524999999997;40.9335
