EPOCAS;MAE;MSE;RMSE
1000;13.77;578.41;24.05
1000;14.06;547.83;23.41
1000;16.05;651.23;25.52
1000;13.98;634.38;25.19
1000;16.08;808.17;28.43
1000;16.46;707.26;26.59
1000;14.27;836.03;28.91
1000;15.56;809.54;28.45
1000;14.82;738.47;27.17
1000;16.02;845.01;29.07
1000;15.71;827.34;28.76
1000;14.8;605.8;24.61
1000;16.14;850.76;29.17
1000;15.24;722.71;26.88
1000;15.61;734.25;27.1
1000;16.36;809.44;28.45
1000;16.44;699.64;26.45
1000;14.89;687.89;26.23
1000;16.51;745.97;27.31
1000;16.9;774.58;27.83
1000;15.483499999999998;730.7355;26.979000000000003
