EPOCAS;MAE;MSE;RMSE
1000;15.79;724.25;26.91
1000;16.56;763.96;27.64
1000;20.2;1225.26;35.0
1000;18.92;1106.05;33.26
1000;19.17;1259.2;35.49
1000;20.27;1593.58;39.92
1000;21.63;1687.22;41.08
1000;20.77;1436.88;37.91
1000;22.81;1871.74;43.26
1000;21.26;1607.47;40.09
1000;21.38;1637.13;40.46
1000;21.6;1703.83;41.28
1000;22.31;1729.19;41.58
1000;21.92;1522.99;39.03
1000;22.7;1770.08;42.07
1000;21.91;1835.06;42.84
1000;22.2;1804.26;42.48
1000;22.24;1697.28;41.2
1000;22.74;1921.36;43.83
1000;22.76;1968.04;44.36
1000;20.957;1543.2414999999999;38.984500000000004
