EPOCAS;MAE;MSE;RMSE
1000;12.57;418.18;20.45
1000;13.92;453.32;21.29
1000;13.52;469.33;21.66
1000;14.09;491.11;22.16
1000;14.95;517.9;22.76
1000;14.37;496.13;22.27
1000;14.73;520.54;22.82
1000;14.82;547.52;23.4
1000;14.07;501.66;22.4
1000;14.75;553.59;23.53
1000;14.67;551.99;23.49
1000;16.12;591.75;24.33
1000;14.91;568.73;23.85
1000;15.25;592.33;24.34
1000;14.92;581.07;24.11
1000;15.61;604.79;24.59
1000;14.74;556.78;23.6
1000;15.89;621.12;24.92
1000;14.82;581.89;24.12
1000;15.48;612.84;24.76
1000;14.710000000000003;541.6285;23.2425
